"","H.sst.AEN","E.sst.AEN"
"1929-10-01",-0.546631566104611,-0.921737623331059
"1929-11-01",0.222743628255959,-0.268556805604155
"1929-12-01",-0.446472280006693,-0.354568168801737
"1930-01-01",-0.346177470760741,-0.448577017936828
"1930-02-01",-0.339228813771705,-0.355193541442638
"1930-03-01",-0.694024048880602,-0.787549622201083
"1930-04-01",-0.934116239862321,-0.666166112531165
"1930-05-01",-0.533916046863499,-0.722689905662157
"1930-06-01",-0.310951752051982,-0.708111255551826
"1930-07-01",0.102518941539329,-0.717036674118002
"1930-08-01",-0.40048380153204,-0.761507657977238
"1930-09-01",-0.256440800365671,-0.55259598314813
"1930-10-01",-0.131671757189904,-0.462903483007352
"1930-11-01",0.12703803998428,-0.448968457006548
"1930-12-01",0.524531299916587,-0.0756402725373117
"1931-01-01",-0.224310598392179,-0.133336131802361
"1931-02-01",0.311956485851,0.320662097566789
"1931-03-01",0.0709595468938523,0.109703348511213
"1931-04-01",0.00489541011385913,-0.445097716389509
"1931-05-01",-0.26233632500754,-0.385219459746945
"1931-06-01",-0.20860730516477,-0.703030735194477
"1931-07-01",-0.926917200092501,-0.787121828958422
"1931-08-01",-0.120751979882941,-0.557860673272584
"1931-09-01",0.064937040691733,-0.369813409504024
"1931-10-01",0.0924160951163938,-0.557410672956576
"1931-11-01",-0.56802859757661,-0.681381444751281
"1931-12-01",-0.115066499138755,-0.550681574669315
"1932-01-01",-0.00488573300046148,-0.476519034684165
"1932-02-01",-0.310185982346227,-0.593035319529226
"1932-03-01",-0.756987191311824,-0.999124744958125
"1932-04-01",-0.113724685086153,-0.64496338822761
"1932-05-01",-0.835864204892167,-1.24645672786534
"1932-06-01",-0.776931098320982,-1.35773976809499
"1932-07-01",-1.26575670588784,-1.51528352530636
"1932-08-01",-0.584932428803055,-0.725008997321264
"1932-09-01",-0.72032967541675,-0.996486571200009
"1932-10-01",-0.421087697009028,-0.818522836367142
"1932-11-01",-0.0521782791360165,-0.298402457304727
"1932-12-01",0.275458970636252,-0.11402930989549
"1933-01-01",-0.00366917744096849,-0.211975791245732
"1933-02-01",0.140677229104578,-0.11409510637795
"1933-03-01",0.301821904795737,0.209557966844271
"1933-04-01",0.514935545096405,0.16664742815371
"1933-05-01",-0.15803063131429,-0.104730372650532
"1933-06-01",0.249745369338871,-0.36148183886016
"1933-07-01",0.377733852950806,-0.121982617480327
"1933-08-01",-0.133941415608338,-0.342170321614303
"1933-09-01",-0.174961657726277,-0.427656668869455
"1933-10-01",1.01778791907355,-0.0184195068810779
"1933-11-01",0.180604656202348,0.118329138416324
"1933-12-01",0.464963883403694,0.249244560311072
"1934-01-01",0.094825625201877,0.0466282706673696
"1934-02-01",0.0533981616589213,-0.192434049583875
"1934-03-01",-0.0569403386903298,-0.0650575668898482
"1934-04-01",0.173420146135684,0.138233349179604
"1934-05-01",0.333042415707717,0.575610476199694
"1934-06-01",0.887785491781674,1.02915607945889
"1934-07-01",1.08798390367076,1.00288919429641
"1934-08-01",0.937717952641462,0.809037642969015
"1934-09-01",0.735401824826139,0.485580138773179
"1934-10-01",0.48449098793518,0.250176126110591
"1934-11-01",0.175114629382536,0.141220149771142
"1934-12-01",0.513142474242244,0.184964410645061
"1935-01-01",0.444361804991461,0.0522949480869503
"1935-02-01",0.022937395985576,-0.071156042501808
"1935-03-01",-0.154089041246478,0.0222456022896759
"1935-04-01",0.0526465523651647,-0.191857832299537
"1935-05-01",-0.22742382735846,-0.0719678101615583
"1935-06-01",0.346467329488572,-0.287720397436932
"1935-07-01",0.0702854391037516,-0.702402435929652
"1935-08-01",-0.0435819127392318,-0.505572008485509
"1935-09-01",-0.131715518791607,-0.35118034990818
"1935-10-01",0.187067802391156,0.0443889004431953
"1935-11-01",0.477276083465662,0.336146436667568
"1935-12-01",0.606141211187474,0.413097985191582
"1936-01-01",0.262523073307582,0.0472969216953715
"1936-02-01",0.144752075811706,-0.117241963214433
"1936-03-01",-0.350307411736425,-0.645749364497709
"1936-04-01",-0.250653178491557,-0.595204248599748
"1936-05-01",-0.819692564070303,-0.974693145346309
"1936-06-01",-1.47724523369259,-1.97399938101931
"1936-07-01",-1.48780383227371,-1.77523532369256
"1936-08-01",-0.774863418269175,-1.07072116894335
"1936-09-01",-0.50089471877734,-0.871145873281611
"1936-10-01",-0.217666747565642,-0.394676479679514
"1936-11-01",0.248798405938686,0.123556928736106
"1936-12-01",-0.0534013519643739,-0.16915343183943
"1937-01-01",0.331912528815941,0.115792263010063
"1937-02-01",0.266922893292108,-0.00943920017629668
"1937-03-01",0.404783853902214,0.0105786782838431
"1937-04-01",0.359263548865529,0.0961790339319094
"1937-05-01",0.58251057351854,0.419680792668856
"1937-06-01",0.422800627354299,0.198938538785412
"1937-07-01",0.265054745209859,-0.0624776517851377
"1937-08-01",0.291373880274611,-0.13854643226893
"1937-09-01",0.583908537541458,0.209854295404276
"1937-10-01",0.356304102429452,0.269005540140868
"1937-11-01",0.806329827605547,0.518411531303209
"1937-12-01",0.774874464071779,0.663451717388657
"1938-01-01",0.447030710171421,0.44426994015971
"1938-02-01",0.520323475950172,0.281688778548843
"1938-03-01",0.18069832046817,-0.00683335070663059
"1938-04-01",-0.0583068666623294,-0.201308937465512
"1938-05-01",-0.393625519610498,-0.78389910115596
"1938-06-01",-0.654568101622303,-1.0294393787863
"1938-07-01",-0.155025685717046,-0.432173405761425
"1938-08-01",0.166730483431939,-0.175289576121287
"1938-09-01",-0.245699623583091,-0.307461320057277
"1938-10-01",-0.056914881213747,-0.171779968453445
"1938-11-01",-0.0580924211409624,-0.151371145254761
"1938-12-01",-0.144944510180114,-0.272646064315322
"1939-01-01",0.133731461433107,-0.199284857195404
"1939-02-01",-0.136073649694702,-0.362004322248297
"1939-03-01",-0.213319003296582,-0.36737987222153
"1939-04-01",0.0687457020905269,-0.091873078277462
"1939-05-01",0.325113392321006,-0.0161643896754936
"1939-06-01",0.571732294938606,0.486750335870958
"1939-07-01",0.225172332833953,-0.0195107668394834
"1939-08-01",0.271393477449401,-0.135358595290172
"1939-09-01",-0.687429239065929,-0.713400259092866
"1939-10-01",-1.1213220502524,-1.26816386365281
"1939-11-01",-1.06806599544665,-1.42775497545746
"1939-12-01",-0.285621289206373,-0.343675748939413
"1940-01-01",0.255867646345168,0.204145929116683
"1940-02-01",0.0737628420797226,-0.0144381005337596
"1940-03-01",0.0150987813184721,-0.0748207325671828
"1940-04-01",0.311015798894855,0.104596369226689
"1940-05-01",0.136465881366292,0.0684874705745722
"1940-06-01",0.121700877565558,-0.425901174278896
"1940-07-01",0.0802003325996551,-0.0424656878682872
"1940-08-01",0.71101711503954,0.31840965087833
"1940-09-01",0.50584554433966,0.273985154131671
"1940-10-01",0.320888067645925,-0.0973770876182638
"1940-11-01",-0.242727236508065,-0.144201843475835
"1940-12-01",-0.371589002514564,-0.159271338093749
"1941-01-01",-0.242654945045049,-0.0834647406307876
"1941-02-01",0.0619842182722837,0.0210377592621827
"1941-03-01",-0.00179576278764008,-0.00447726136745756
"1941-04-01",-0.352976493794782,-0.284347035459449
"1941-05-01",-0.200519042401038,0.0970807386078679
